start_date,end_date,number,opinion,percent
1973-04-03,1973-04-03,37,approve,53
1973-03-27,1973-03-27,37,approve,57
1973-02-13,1973-02-13,37,approve,65
1973-01-23,1973-01-23,37,approve,66
1973-01-09,1973-01-09,37,approve,51
1972-12-05,1972-12-05,37,approve,59
1972-11-01,1972-11-30,37,approve,62
1972-06-20,1972-06-20,37,approve,56
1972-06-13,1972-06-13,37,approve,59
1972-05-23,1972-05-23,37,approve,61
1972-04-25,1972-04-25,37,approve,53
1972-03-21,1972-03-21,37,approve,52
1972-02-29,1972-02-29,37,approve,55
1972-02-01,1972-02-01,37,approve,51
1972-01-04,1972-01-04,37,approve,49
1971-12-10,1971-12-13,37,approve,49
1971-10-29,1971-11-02,37,approve,49
1971-10-08,1971-10-11,37,approve,50
1971-08-27,1971-08-30,37,approve,47
1971-08-25,1971-08-25,37,approve,47
1971-07-15,1971-07-18,37,approve,47
1971-06-25,1971-06-28,37,approve,44
1971-06-04,1971-06-07,37,approve,43
1971-05-14,1971-05-17,37,approve,40
1971-04-23,1971-04-26,37,approve,47
1971-03-30,1971-03-30,37,approve,48
1971-03-11,1971-03-14,37,approve,49
1971-02-19,1971-02-22,37,approve,49
1971-01-08,1971-01-11,37,approve,55
1970-12-03,1970-12-08,37,approve,48
1970-11-13,1970-11-17,37,approve,56
1970-10-09,1970-10-14,37,approve,57
1970-09-25,1970-09-28,37,approve,51
1970-09-11,1970-09-14,37,approve,57
1970-08-25,1970-09-01,37,approve,54
1970-07-31,1970-08-02,37,approve,54
1970-07-09,1970-07-14,37,approve,60
1970-06-18,1970-06-23,37,approve,54
1970-05-22,1970-05-25,37,approve,59
1970-04-29,1970-05-03,37,approve,57
1970-04-17,1970-04-19,37,approve,56
1970-03-18,1970-03-25,37,approve,53
1970-03-13,1970-03-15,37,approve,54
1970-02-27,1970-03-02,37,approve,55
1970-01-30,1970-02-02,37,approve,60
1970-01-15,1970-01-20,37,approve,56
1970-01-02,1970-01-05,37,approve,58
1969-12-01,1969-12-30,37,approve,53
1969-12-12,1969-12-15,37,approve,56
1969-11-12,1969-11-17,37,approve,64
1969-10-17,1969-10-22,37,approve,55
1969-10-02,1969-10-07,37,approve,53
1969-09-17,1969-09-22,37,approve,54
1969-09-11,1969-09-16,37,approve,56
1969-08-14,1969-08-19,37,approve,58
1969-07-24,1969-07-29,37,approve,62
1969-07-10,1969-07-15,37,approve,57
1969-06-19,1969-06-24,37,approve,63
1969-05-22,1969-05-27,37,approve,59
1969-05-15,1969-05-20,37,approve,62
1969-05-01,1969-05-06,37,approve,62
1969-04-04,1969-04-30,37,approve,56
1969-04-04,1969-04-10,37,approve,59
1969-03-27,1969-04-01,37,approve,62
1969-03-12,1969-03-17,37,approve,65
1969-02-20,1969-02-25,37,approve,59
1969-01-23,1969-01-28,37,approve,59
1976-12-10,1976-12-13,38,approve,53
1976-06-08,1976-06-08,38,approve,45
1976-05-17,1976-05-17,38,approve,47
1976-04-09,1976-04-12,38,approve,48
1976-03-16,1976-03-16,38,approve,50
1976-02-27,1976-03-01,38,approve,50
1976-01-27,1976-01-27,38,approve,46
1976-01-20,1976-01-20,38,approve,44
1975-12-30,1975-12-30,38,approve,45
1975-12-12,1975-12-15,38,approve,39
1975-12-02,1975-12-02,38,approve,45
1975-11-18,1975-11-18,38,approve,41
1975-10-28,1975-10-28,38,approve,44
1975-10-14,1975-10-14,38,approve,46
1975-10-03,1975-10-06,38,approve,47
1975-09-09,1975-09-09,38,approve,44
1975-08-12,1975-08-12,38,approve,46
1975-07-29,1975-07-29,38,approve,45
1975-06-24,1975-06-24,38,approve,51
1975-05-27,1975-05-27,38,approve,50
1975-05-02,1975-05-05,38,approve,39
1975-04-15,1975-04-15,38,approve,39
1975-04-01,1975-04-01,38,approve,43
1975-03-25,1975-03-25,38,approve,36
1975-03-04,1975-03-04,38,approve,38
1975-02-25,1975-02-25,38,approve,38
1975-01-28,1975-01-28,38,approve,38
1975-01-07,1975-01-07,38,approve,37
1974-12-03,1974-12-03,38,approve,42
1974-11-12,1974-11-12,38,approve,48
1974-11-05,1974-11-05,38,approve,47
1974-10-15,1974-10-15,38,approve,53
1974-10-08,1974-10-08,38,approve,52
1974-09-24,1974-09-24,38,approve,49
1974-09-03,1974-09-03,38,approve,66
1974-08-13,1974-08-13,38,approve,70
1980-12-05,1980-12-08,39,approve,34
1980-11-18,1980-11-18,39,approve,31
1980-09-09,1980-09-09,39,approve,37
